nickname,battles_amount,wins_amount,tanks_amount,is_banned,is_tester,motto,clan_name
Ozudehywu,18,0,54,Yes,No,Uchifosy,Migediz
Jicothexi,18,38,93,Yes,No,Afopema,Uxahyzh
Kisufas,57,33,9,Yes,No,Kuhavino,Shogeqikhith
Aruliluvo,99,45,41,Yes,No,Gecethothyt,Alechef
Ijukyj,71,29,29,Yes,No,Hifishi,Azhethoxomy
Ynokheby,28,15,38,Yes,No,Othepocycho,Shokyzhychi
Dequthep,23,46,84,Yes,No,Unexape,Izunej
Ohasovane,50,42,73,Yes,No,Fapuxajo,Zothofiwyr
Efasyguzy,50,15,1,Yes,No,Ygezhuda,Zhyfedoqaf
Lefuxa,97,74,99,Yes,No,Sowope,Oxyshipi
Jechabykhop,50,14,57,Yes,No,Thycyvuhax,Erazhoryjy
Uharajos,67,75,16,Yes,No,Uhacob,Ykhapaz
Shapehish,75,56,15,Yes,No,Fichybihit,Aqiqibal
Ibykhoshun,96,9,88,Yes,No,Yjigenady,Zavezhaq
Oloxazhil,98,94,12,Yes,No,Esykysiba,Atibichav
Gamuza,88,36,58,Yes,No,Khabehyraf,Thojacig
Ycyhanod,78,61,5,Yes,No,Ofujeg,Fipimuqu
Cybushaxeq,77,11,30,Yes,No,Chydarikhy,Odolaxug
Inoshujuv,5,98,13,Yes,No,Ebaqurare,Elovewujo
Upather,100,64,71,Yes,No,Ashygaxo,Ykewar
Ofofidohe,29,91,2,Yes,No,Opuzhana,Tocohi
Ycucychu,20,25,47,Yes,No,Asodyd,Chazachuby
Ykybitih,59,11,46,Yes,No,Bepylyhy,Khefexov
Otogun,51,89,40,Yes,No,Yshawat,Zhuzahich
Bybobyl,25,52,44,Yes,No,Vitopo,Loxosijav
Khufochuqa,60,91,0,Yes,No,Sequzha,Theziko
Aduqojo,70,16,34,Yes,No,Uriwila,Revikuh
Chuqythuvukh,57,90,41,Yes,No,Acocymory,Ogucekhu
Uqokuge,89,75,2,Yes,No,Lofythaja,Fuceciga
Zhujicuquzh,5,91,39,Yes,No,Opegoty,Sumury
Nahosha,63,86,29,Yes,No,Uzhuloje,Botuge
Papogafuv,20,52,49,Yes,No,Shichugocok,Qedemiz
Ufykife,75,100,96,Yes,No,Oxezhyshira,Icohater
Iwuxychutho,78,33,98,Yes,No,Lyguzogis,Efykakha
Wynacibu,91,11,17,Yes,No,Zhamubozho,Puzhefesha
Mobodywe,59,5,3,Yes,No,Yjiritath,Linybychux
Feziwezik,74,25,33,Yes,No,Pychuhixa,Yvykheweto
Bybupowukh,13,0,57,Yes,No,Imotoby,Idichav
Yxaveby,7,42,97,Yes,No,Khukivut,Uthothoshon
Acazhugev,2,81,47,Yes,No,Wycawen,Ofinych
Lyboji,4,32,57,Yes,No,Khazhinom,Xisutejaq
Gixidyth,68,52,4,Yes,No,Pokokhazed,Ezhyzober
Yryfil,54,66,8,Yes,No,Okuzibe,Ozhafelul
Unaridivo,2,95,29,Yes,No,Wudonyra,Zhazaxaq
Eciquha,63,33,93,Yes,No,Exisun,Dudithy
Azobaly,31,100,53,Yes,No,Rehedoto,Rarodyx
Ichechapasa,23,27,32,Yes,No,Semelo,Yzydugikh
Efoguba,76,41,42,Yes,No,Megoqet,Othekhafo
Shofenothish,33,10,80,Yes,No,Yqewyji,Jochitukhu
Ubicukh,29,68,4,Yes,No,Pokechoh,Uwacupo
Akiwafu,76,96,68,Yes,No,Eluzhefikhu,Ifokil
Acywud,60,36,5,Yes,No,Zhytejo,Iguthowiz
Myshuzhazi,26,22,13,Yes,No,Xewexesa,Qyhiwodo
Mocevucha,59,5,28,Yes,No,Ochuthajemo,Opubybu
Zetohen,27,24,100,Yes,No,Ruxytyruw,Dejyshykun
Enezumizhu,80,9,79,Yes,No,Iqyzheqes,Nadiwil
Ocizinyxa,16,51,16,Yes,No,Kishojug,Colisog
Otunithysh,98,91,50,Yes,No,Ujivifega,Uvuqup
Lehibemosh,69,72,91,Yes,No,Oninipy,Rytechil
Jiwyvy,13,74,57,Yes,No,Oshovoth,Myvekicu
Gagapoxu,99,21,20,Yes,No,Secykito,Chubehu
Oleqaqojy,97,73,12,Yes,No,Etunigosh,Udabiqe
Okhechazupa,68,38,88,Yes,No,Ashideha,Wyvuhug
Ytafysuthu,43,3,3,Yes,No,Chohecagoc,Khagobisakh
Ysiwoxij,69,32,31,Yes,No,Rolepuva,Chidatechyl
Khaxynich,15,81,0,Yes,No,Uchulomok,Edivufy
Abyzhefeny,11,80,7,Yes,No,Kybese,Ibanuzha
Efymiw,36,17,88,Yes,No,Iqexazis,Gifodag
Adapeh,92,48,25,Yes,No,Yroxome,Lyguduvoh
Okucukhyth,49,85,55,Yes,No,Qashichuzher,Quwilyqyw
Cylaseth,48,52,39,Yes,No,Xovyneneg,Agojano
Ibemeda,85,43,26,Yes,No,Bushoxachu,Anozukec
Obenytys,25,14,17,Yes,No,Ucudaqeth,Ymasil
Agomegawa,51,45,88,Yes,No,Rydizhid,Emyvygoth
Ypasoshyr,54,15,82,Yes,No,Wiqyvyx,Apujezup
Aqemyzugo,26,17,96,Yes,No,Dudicap,Ohucaquny
Rykudidyg,59,89,12,Yes,No,Amosyd,Kyxarerazh
Ukhypury,2,8,98,Yes,No,Jemuwa,Nywikefa
Opyfycoby,96,8,2,Yes,No,Ahycax,Yhipynoc
Exovuwi,59,76,84,Yes,No,Acojoron,Uchynuma
Ycyragyshu,24,16,99,Yes,No,Okhojyvuch,Uchacheqili
Colirorosh,73,7,81,Yes,No,Wabenyry,Puwagariw
Efudihes,83,87,38,Yes,No,Vivobo,Chefemywos
Yhidikhe,13,97,49,Yes,No,Tidakizhug,Shohuzhopa
Shocazyv,12,90,4,Yes,No,Akinehi,Unochuq
Xeduhuk,13,99,50,Yes,No,Jykuhi,Fadowy
Oquwulaq,59,40,26,Yes,No,Samijoqo,Igihivary
Oshobaco,13,47,17,Yes,No,Riruroth,Thajutitop
Pikekyth,24,55,23,Yes,No,Uxichil,Kutyfafa
Ikuzhyzha,75,52,88,Yes,No,Vutyxy,Qosopyj
Odoqovy,68,64,19,Yes,No,Nixywefyx,Ebylic
Ijiwosh,78,79,34,Yes,No,Ivywotu,Edosycha
Chaqovofa,23,61,27,Yes,No,Mixahev,Otyqeg
Kudynemi,95,28,32,Yes,No,Avaship,Yluxika
Zhyshikhoxaz,56,32,72,Yes,No,Ywythurem,Lopeshipy
Azakogezhe,35,6,84,Yes,No,Tinyje,Uvagexuri
Okybiwu,18,66,37,Yes,No,Sarugi,Hubetyc
Zowehorus,99,100,24,Yes,No,Gohyhi,Uhabehus
Ovinol,81,99,86,Yes,No,Aqethod,Letanokyq
Uhethil,5,97,82,Yes,No,Idyxiv,Oqopok
Zashicy,56,3,72,Yes,No,Bynokhetho,Nefujoxit
Thisezokykh,9,99,95,Yes,No,Ucinevyk,Nohysyje
Alumyky,41,20,60,Yes,No,Nucemakhu,Ycidev
Shebyshih,81,29,66,Yes,No,Ikhizisozh,Upigibu
Cekhetech,0,84,98,Yes,No,Ychovupe,Thozesi
Alothosyj,78,7,5,Yes,No,Akhubecy,Saqene
Habichi,47,1,16,Yes,No,Enutosha,Odyvibab
Khakegod,64,78,12,Yes,No,Shixydu,Amuthimure
Hycheteka,40,73,4,Yes,No,Anawych,Nochytha
Komocal,62,68,63,Yes,No,Ovemalyvi,Kuchemyky
Ishysenub,64,1,37,Yes,No,Nuwekhechaz,Epokob
Ivachujys,67,39,88,Yes,No,Fokhigiba,Iwezhiwome
Qigoshuwo,15,19,50,Yes,No,Ywyzysochu,Ezatagy
Diposheh,59,38,15,Yes,No,Utasow,Wubakhomy
Ixuchim,75,7,25,Yes,No,Ozomikiv,Sechelod
Cizihad,28,28,27,Yes,No,Linaly,Somiso
Adechaf,57,44,19,Yes,No,Kidoso,Ekashax
Zuxyrush,80,72,33,Yes,No,Evesishi,Hydyhudy
Izhaxydiwo,94,94,32,Yes,No,Ehasaricha,Rajobish
Aqugeva,14,71,61,Yes,No,Exanori,Yrihuch
Edazhuri,87,82,86,Yes,No,Ycutuv,Geledil
Ishochuxyk,51,90,8,Yes,No,Nekywevyg,Kinydip
Ozhewoj,65,73,75,Yes,No,Hykhothu,Nifecu
Syjumas,29,93,12,Yes,No,Ojifoq,Rozhecybuq
Tachavyka,67,94,51,Yes,No,Notarup,Edafiwe
Noxevij,87,85,62,Yes,No,Chanyzu,Achynaq
Shuqita,98,37,65,Yes,No,Ykidichuz,Uqesaqad
Zegudoch,35,72,84,Yes,No,Shatydyju,Wixokhopu
Ogipykyta,9,40,48,Yes,No,Akathysh,Chetheno
Ukegethore,12,85,26,Yes,No,Owufane,Joxychi
Acizynog,95,55,96,Yes,No,Ukavefu,Okothygagy
Qugusoboc,38,52,79,Yes,No,Doqizhu,Eqicazh
Gamusesi,33,85,67,Yes,No,Odafohunu,Uwuxokhe
Axexanuh,52,26,53,Yes,No,Uthikhit,Elyteriki
Imychujethi,66,73,24,Yes,No,Ifopyshach,Iwawisy
Qipurus,18,100,53,Yes,No,Lolatod,Wichenogu
Hewarox,49,56,18,Yes,No,Wudofyhech,Uwokuc
Xuthimizh,45,36,76,Yes,No,Uthetuwykha,Osubusiji
Boshuchupec,48,41,59,Yes,No,Ofyhanos,Fethudylun
Izetyseja,87,37,0,Yes,No,Tamawy,Uthashuhova
Khugizakha,80,62,17,Yes,No,Zigurij,Exyluz
Shapathe,4,49,16,Yes,No,Jetashijuzh,Dozhytyz
Hetothi,57,67,75,Yes,No,Khyxukyjab,Ubudizhek
Idebach,49,62,36,Yes,No,Ruxuqi,Ujehip
Edanezytha,1,70,66,Yes,No,Upisafuz,Ochichijikh
Okhadukhe,55,90,80,Yes,No,Ethiwuh,Exijekh
Uzecoze,70,32,6,Yes,No,Qymoka,Ytugufe
Ishivafuto,46,52,39,Yes,No,Namanyw,Ojithel
Methuje,100,68,19,Yes,No,Amexyjydo,Echyhovuli
Dipoco,84,56,77,Yes,No,Shujikamol,Muguqer
Uvefakhek,14,75,65,Yes,No,Fezhufe,Eryrukh
Buqowelo,77,16,68,Yes,No,Zhyhokhaja,Khyqihezh
Ywoniqot,45,48,62,Yes,No,Tokekushuz,Ozhukor
Odocheja,99,25,18,Yes,No,Epucixoth,Iwiteheq
Ufenoxeci,61,25,64,Yes,No,Khakhewikap,Ywolijecha
Iqyjybu,21,36,72,Yes,No,Xifeshunuw,Lazucyxo
Ikuqazho,34,73,28,Yes,No,Wecena,Esuvith
Wotavuj,85,29,30,Yes,No,Vyjosyca,Edototyzh
Apavytu,31,24,23,Yes,No,Nodyzym,Ybukuthym
Mutela,38,1,17,Yes,No,Uxoqyjag,Izexike
Egozedyj,6,94,13,Yes,No,Zuhyfuhu,Ililahi
Puxesek,46,37,93,Yes,No,Cutepak,Dakemixu
Bymony,75,99,80,Yes,No,Lyhuzhafe,Omynocho
Zedesek,96,22,48,Yes,No,Faseruta,Kefuje
Iqoxawa,66,35,4,Yes,No,Usofisyty,Ytohufot
Hyvedin,76,27,27,Yes,No,Uketiwal,Uchuwyty
Cijatha,42,51,32,Yes,No,Lishura,Nyhixi
Horabyw,67,38,40,Yes,No,Upuwahen,Pomukeq
Acycizigu,49,52,34,Yes,No,Itopoh,Ehuhabepo
Fimahekhi,49,54,82,Yes,No,Epidugog,Thokhizokh
Ycyshezhyde,0,41,74,Yes,No,Epewove,Zholegyfej
Haboshukhi,79,10,56,Yes,No,Chashoso,Qijytu
Zhiqyrefath,76,72,11,Yes,No,Yxychuvu,Aryzhucuv
Uqunix,94,64,21,Yes,No,Thykhajo,Oriwyzypo
Thothasylic,18,33,78,Yes,No,Biqokhe,Thabimijom
Ofokhozhyv,19,76,47,Yes,No,Bechocu,Ojoshilo
Checozo,7,46,11,Yes,No,Qocythe,Aconapefe
Pawapap,27,5,9,Yes,No,Ychuchogiv,Akhyqadutho
Shirixap,90,19,92,Yes,No,Apezhopody,Gajiloshe
Inashowi,97,0,37,Yes,No,Ekirychy,Ydiwony
Ufawev,28,50,43,Yes,No,Yxuzur,Uhadokhy
Pakikokhy,20,5,57,Yes,No,Xabivugiz,Dowoce
Munipoqith,70,37,90,Yes,No,Avaruqofe,Erilofa
Oqudakhuz,70,57,13,Yes,No,Alothyth,Riwyqujuv
Geniche,37,31,15,Yes,No,Shashemaquth,Khojuchog
Banochi,52,74,12,Yes,No,Rytowyro,Ygagikac
Cypocaju,16,44,24,Yes,No,Rytuxulyt,Pocahudazh
Okupelip,64,70,78,Yes,No,Egachochece,Epacul
Ezholoqud,49,6,76,Yes,No,Xenabuzhid,Aneshozhub
Yxyboq,89,82,91,Yes,No,Bohythud,Sizusavo
Enofixe,42,44,84,Yes,No,Ahexapi,Esanir
Yfatafywi,26,72,54,Yes,No,Nynihy,Afesiw
Evitoxy,35,75,39,Yes,No,Xikhagechakh,Volupezyr
Fakaxikhac,80,83,97,Yes,No,Fucecyt,Choxikhexo
Onurypa,85,86,28,Yes,No,Mibygi,Ymikhigo
Cifuzhewo,49,30,28,Yes,No,Seharoka,Ethunysuby
Javyve,59,87,71,Yes,No,Izozhypivo,Rebabo
Ychafan,35,69,51,Yes,No,Wothubuqu,Nuxudijul
Akhoxideby,88,47,72,Yes,No,Ivytobo,Qidawatit
Yjowuchog,8,5,54,Yes,No,Yvesucir,Opafefy
Bopanaba,32,9,54,Yes,No,Ogupenozh,Oxibeq
Exoshydukh,85,63,69,Yes,No,Urezyxepy,Vyrechyjash
Typywydu,63,5,44,Yes,No,Fehefafi,Yhahylaq
Oluqih,11,47,98,Yes,No,Rukyzov,Horyto
Jaluzu,27,15,54,Yes,No,Ogaxikho,Ililochiw
Uqafoqu,10,30,96,Yes,No,Xikavezif,Osuzyche
Ekiveva,74,95,20,Yes,No,Puchoshoxu,Ytakhishech
Chushawe,50,24,80,Yes,No,Uvunyjoly,Gigeduv
Obijak,50,14,19,Yes,No,Cukyshery,Khisikhokhos
Kocichyme,63,15,52,Yes,No,Etavebosi,Eqadisha
Alafil,6,50,55,Yes,No,Wycichyr,Pirucy
Iqusewidi,40,39,9,Yes,No,Yfelitum,Yfonech
Ahavahy,78,51,6,Yes,No,Folixap,Khetecha
Qisheruzi,36,57,82,Yes,No,Lufegof,Axaniqiku
Tydopavo,52,13,92,Yes,No,Emagax,Chegeti
Khoshyge,80,44,40,Yes,No,Thuceloda,Hazhihijo
Ydyjothik,50,44,71,Yes,No,Gitiwiget,Khadabe
Fuhaxoqud,67,52,45,Yes,No,Uwogarak,Xucanaz
Omatij,28,16,64,Yes,No,Owemine,Betuthuq
Echibazheme,42,69,19,Yes,No,Hanuji,Matewa
Chizhuchuqeg,60,1,23,Yes,No,Gakhiqoxux,Amukhod
Ymetopu,61,1,28,Yes,No,Khichojom,Jynethi
Zuchisaho,80,16,2,Yes,No,Nakythu,Ilozhise
Uvuximevo,64,87,47,Yes,No,Padodizh,Yherichi
Echufeshozy,75,16,55,Yes,No,Onejigij,Wavugikha
Chawecewak,97,75,83,Yes,No,Khyjochy,Ugakhurok
Qazozavac,12,5,16,Yes,No,Yfybiceme,Nypesijev
Urithowo,58,19,23,Yes,No,Uwogog,Exycese
Dobonash,41,16,62,Yes,No,Qobyzyw,Asinykazhy
Achumih,38,60,14,Yes,No,Asasecozhi,Uxehiwo
Oqyjig,74,87,69,Yes,No,Ifomebyj,Cuthoxuj
Kusokichi,65,1,97,Yes,No,Exuxaval,Eqycacori
Emiwojycho,43,46,9,Yes,No,Uvothove,Ytuzheqis
Onyjigofi,29,15,40,Yes,No,Ymikatef,Gymemy
Yshachezix,33,88,15,Yes,No,Thetothuchan,Hishocysa
Ifufoshide,88,65,84,Yes,No,Nyjusikezh,Lovyle
Khameqafyv,46,19,85,Yes,No,Asogythe,Uchashorori
Divyqy,51,31,29,Yes,No,Yjylydyf,Epyrythish
Dochogivosh,10,49,5,Yes,No,Vekasaciz,Khuchigediz
Ikhykhyqush,71,82,92,Yes,No,Uzubumali,Sitona
Ygonath,2,47,32,Yes,No,Ykashunoh,Osizhajub
Ixynech,36,41,84,Yes,No,Opagicu,Pethota
Odorizhip,25,29,29,Yes,No,Chekuhyla,Asubecekh
Delyno,65,26,32,Yes,No,Oveqibo,Wiziqepy
Ujejul,97,88,49,Yes,No,Ylorubyshi,Aceshoch
Iseref,44,40,62,Yes,No,Heluvajej,Khihocuf
Zhazethah,14,82,28,Yes,No,Ykumubufi,Inebeko
Vymunedysh,93,90,52,Yes,No,Athumagov,Khutukith
Zoqazyte,24,23,27,Yes,No,Vefiva,Pikyteso
Cuserizh,65,99,53,Yes,No,Fyshomo,Adokhaxa
Ujojyt,73,78,22,Yes,No,Jycekhesa,Anajapoth
Eshipyci,27,47,93,Yes,No,Egymukhow,Vowukhenav
Itimed,51,50,62,Yes,No,Shithozhypog,Muwitiz
Thoxazum,46,16,74,Yes,No,Lagozothe,Ytukhihyq
Nuhuca,57,91,23,Yes,No,Kagaba,Unaxejyx
Ishezale,69,36,1,Yes,No,Loqatiju,Uwaquvase
Qychyroxy,70,99,41,Yes,No,Izuvitizhi,Kulyzhuhi
Exulishoke,82,85,17,Yes,No,Xocywotos,Oqehafojy
Ozobiven,78,34,99,Yes,No,Vamufijo,Ywazewa
Ythugugafy,10,51,67,Yes,No,Izashekhed,Poshaty
Gohypadyk,57,24,97,Yes,No,Ywinyzecu,Oshuvewysu
Apidudyk,22,44,47,Yes,No,Nazemy,Chavobo
Habijaqi,25,35,33,Yes,No,Tybithize,Dushafepyb
Thydalod,78,50,32,Yes,No,Requzhe,Osigigyla
Gysibyl,7,29,30,Yes,No,Cohiqakhe,Etoqicoz
Ekhyticuv,55,78,73,Yes,No,Pyzokhylom,Osaregi
Lisute,64,53,29,Yes,No,Ekhygoj,Igalyb
Achyxoqusy,73,42,40,Yes,No,Zichokho,Athibavone
Ludakhyqo,75,68,41,Yes,No,Thiwuxow,Icebyryva
Ogecheg,70,81,32,Yes,No,Ylosevag,Achapemupe
Upochijot,88,96,77,Yes,No,Xederiwu,Azhochexipa
Iwesuzezh,39,59,44,Yes,No,Tycimy,Nudoshynot
Ydyhot,58,66,63,Yes,No,Fyqesobyb,Ivugyfipu
Vycyshozac,68,45,24,Yes,No,Ufuxymevo,Othufiqa
Yvymujyth,91,24,84,Yes,No,Walybyva,Necuny
Zhylichachy,27,57,89,Yes,No,Enycar,Qeqygyl
Ichixilyz,25,100,94,Yes,No,Athyguvo,Erycozhi
Uleducheni,16,1,5,Yes,No,Pymageb,Nochudo
Fykeshicuh,63,39,36,Yes,No,Thufohasu,Buhaba
Lygikek,83,91,55,Yes,No,Bajaqychyw,Kyrovudu
Jyputhilem,78,17,33,Yes,No,Ekhajashowa,Ygoshygushe
Wiwymix,66,90,53,Yes,No,Oqubopy,Jugezhech
Shifagif,53,64,92,Yes,No,Zicagys,Mojevu
Pelena,9,20,32,Yes,No,Opashohat,Fylymader
Ezheruqaly,41,50,79,Yes,No,Shyzhoqychyw,Bymukor
Mokhogu,18,51,54,Yes,No,Khychetha,Furadizhi
Myrada,92,44,87,Yes,No,Ahithet,Cinaseku
Cethoshachuch,8,8,17,Yes,No,Ykyjufacha,Uhaxuzibu
Gushefiny,36,40,31,Yes,No,Bonywux,Odovushapi
Axesela,65,57,56,Yes,No,Petawuzh,Ushahivy
Egiramu,57,92,94,Yes,No,Yjusuchin,Azivuw
Yqimitig,50,71,14,Yes,No,Qybypuve,Jakajemy
Ypochil,33,34,38,Yes,No,Ijimewi,Jahipoc
Shatiraguv,11,27,27,Yes,No,Ovazhexyxy,Ukhivazhyjo
Othehodo,87,13,87,Yes,No,Chykhaluzux,Qychicup
Wamukhathi,38,44,33,Yes,No,Ychazyrovy,Ilishushup
Qyjykan,90,51,60,Yes,No,Dishajewokh,Shathaquchim
Odachefiq,30,37,33,Yes,No,Jezhizychij,Yguzhuz
Egasywu,50,37,11,Yes,No,Chechajyb,Akhulazhif
Ryxixyxe,22,20,41,Yes,No,Uryqudogi,Dyxaduzikh
Zhuvaluth,57,67,82,Yes,No,Ejynys,Oqyfanaqy
Ydynivazh,5,78,34,Yes,No,Eligyxumy,Edylufod
Hazhevuthyk,3,78,10,Yes,No,Yfuvykhyfu,Sadushe
Etychiv,21,44,29,Yes,No,Edefuch,Remychodyg
Qetire,34,41,92,Yes,No,Awinibo,Kuwoqoh
Ekhepebowe,16,34,9,Yes,No,Liqivechich,Wisywapig
Thywete,57,3,24,Yes,No,Kinadofeh,Elylotheh
Jiwura,37,34,82,Yes,No,Odoninasu,Harykhyth
Osikhosiho,94,8,27,Yes,No,Ehabyzoth,Azhejizhoq
Awanac,5,68,82,Yes,No,Ekhetusa,Isuzech
Oxulexet,31,14,40,Yes,No,Oxelin,Khubaziku
Utezhoheche,10,74,22,Yes,No,Ydavizhyt,Chitobich
Vehinoth,7,35,98,Yes,No,Vapigigif,Ylagozhushy
Ushivopyjo,32,85,100,Yes,No,Chyzujum,Qothizhe
Jechekoshew,93,38,78,Yes,No,Xecechyja,Ikukagaly
Uzhozhydu,100,53,55,Yes,No,Uboxub,Doshykhi
Komyrinuh,74,99,1,Yes,No,Athichyl,Khowyhutap
Oqethehalo,59,87,84,Yes,No,Icumud,Ratarykhi
Yjuvykic,93,45,73,Yes,No,Ukhacokoh,Tinychur
Ewerithyfu,74,56,99,Yes,No,Pukevyh,Kakhefex
Khipury,74,68,63,Yes,No,Ogocul,Ikhyjopush
Ofibow,10,68,90,Yes,No,Thavezekha,Vepuwyqex
Gohozho,55,21,40,Yes,No,Rocufah,Thicovanus
Othomuzi,75,12,18,Yes,No,Fuhixe,Ythacatyxu
Chozhypu,34,95,82,Yes,No,Xazunez,Wirurubi
Xomulyl,89,83,99,Yes,No,Tozhutob,Favoshik
Chekhyka,52,32,48,Yes,No,Qyzyhume,Ezhesychysha
Qazhyse,73,92,12,Yes,No,Ydishocyby,Dizhuthash
Qyferokhu,7,68,15,Yes,No,Yshyshumit,Jawebu
Sebafy,34,86,12,Yes,No,Ekiwamih,Cedexy
Umoshocekhe,38,11,45,Yes,No,Kutukhoshe,Afifidi
Izefukho,94,0,7,Yes,No,Zorideshy,Renikhi
Uchiroshezhi,27,40,63,Yes,No,Wypuwew,Sasyzikish
Isyfyqa,31,56,71,Yes,No,Fufaweti,Lathater
Ijosexy,22,31,75,Yes,No,Ijapike,Ichemyle
Ybubekiva,19,87,6,Yes,No,Zhukifawa,Ethyvuthy
Lofurif,37,22,6,Yes,No,Khihidali,Morikhu
Ravovasi,61,28,58,Yes,No,Ididigu,Cokovogash
Vufupa,50,87,44,Yes,No,Vimuny,Zenujajop
Nifaxazu,39,0,100,Yes,No,Agecuth,Iliweho
Utagymud,90,13,23,Yes,No,Ydyhekhebi,Mubanoson
Shitubedy,83,42,19,Yes,No,Zhezhyrody,Cuzawizuc
Utewas,59,49,34,Yes,No,Ethethosy,Ivykhukogu
Othivybax,28,15,80,Yes,No,Icuzhuwok,Opubus
Kikacohy,82,49,20,Yes,No,Uwybycukhu,Wujynykhot
Mososowizh,40,63,9,Yes,No,Xakafux,Ugathusuv
Anajylacha,31,37,39,Yes,No,Ikhuhoqa,Exysote
Yzhiceqodo,44,14,67,Yes,No,Echymewiw,Echyroj
Besiqav,96,92,74,Yes,No,Xynyrikhith,Loxerery
Akhakhavymo,75,32,26,Yes,No,Yqoqow,Quchyja
Orazud,36,36,59,Yes,No,Kasakuvu,Pesyzho
Witheqiv,52,61,85,Yes,No,Doshaje,Thuperakhim
Xubynu,61,15,6,Yes,No,Qivizel,Zywikeso
Ochaqath,73,66,34,Yes,No,Ykalyjech,Utyfyshyfi
Irashukh,63,53,21,Yes,No,Ycadizh,Joloni
Avyferol,26,3,86,Yes,No,Rimohikol,Amimer
Wethyhury,78,36,20,Yes,No,Owoboqi,Ibuthamus
Myvurasi,83,99,93,Yes,No,Tewiki,Dyzhojun
Inethochiwe,48,30,98,Yes,No,Ugeleda,Pimukech
Exozebada,82,99,52,Yes,No,Ywashuq,Xadogeq
Yxuzhavy,81,14,40,Yes,No,Ezychezhich,Igowowi
Hoborar,19,41,78,Yes,No,Goniqy,Rufugoshith
Epoqel,79,64,24,Yes,No,Xozhacytheq,Ujekocyg
